Category,Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Travel & Transportation/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,18-24,Male,635,566,1135,0.37,6.23,00:03:18,39,2892.3,0.0344
Food & Drink/Food/Breakfast Foods,18-24,Male,634,536,1180,0.348,5.17,00:03:10,41,2475.46,0.0347
People & Society/Social Sciences/Psychology,18-24,Male,629,537,1183,0.381,5.36,00:03:58,30,2593.71,0.0254
Hobbies & Leisure/Outdoors/Hiking & Camping,18-24,Male,628,548,1121,0.335,4.62,00:03:01,30,2740.31,0.0268
Finance/Credit & Lending/Loans/Home Financing/Mortgages,18-24,Male,624,508,1199,0.38,5,00:03:09,35,2123.37,0.0292
Computers & Electronics/Software/Freeware & Shareware,18-24,Male,621,575,1080,0.319,6.36,00:04:50,49,4988.77,0.0454
Law & Government/Government/Multilateral Organizations,18-24,Male,606,507,1446,0.403,5.5,00:04:07,41,4405.59,0.0284
Travel & Transportation/Tourist Destinations/Historical Sites & Buildings,18-24,Male,599,510,1057,0.386,5.53,00:03:07,39,4023.95,0.0369
Games/Table Games/Billiards,18-24,Male,594,514,1071,0.355,5.75,00:03:27,30,2394.98,0.028
Finance/Investing/Stocks & Bonds/Bonds,18-24,Male,590,503,1096,0.239,6.59,00:04:27,43,4242.42,0.0392
Law & Government/Government/Courts & Judiciary,18-24,Male,589,478,1153,0.313,5.95,00:03:55,39,3442.61,0.0338
Business & Industrial/Metals & Mining,18-24,Male,584,513,971,0.331,6.32,00:04:05,49,4240.74,0.0505
Arts & Entertainment/Visual Art & Design,18-24,Male,583,516,1021,0.405,4.85,00:03:25,25,1879.01,0.0245
Arts & Entertainment/Visual Art & Design/Painting,18-24,Male,580,495,978,0.346,5.31,00:03:20,26,2509.68,0.0266
Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle & Traffic Safety,18-24,Male,578,488,933,0.364,5.34,00:03:14,20,2765.71,0.0214
Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal/Razors & Shavers,18-24,Male,578,482,1140,0.329,6.42,00:04:46,37,2975.22,0.0325
Food & Drink/Food/Meat & Seafood/Beef,18-24,Male,577,487,1073,0.333,5.56,00:03:08,34,3123.93,0.0317
Sports/College Sports,18-24,Male,569,512,966,0.291,5.21,00:03:26,29,2504.57,0.03
Finance/Investing/Commodities & Futures Trading,18-24,Male,563,492,1014,0.307,6.09,00:04:06,43,5526.85,0.0424
Shopping/Luxury Goods,18-24,Male,561,476,1151,0.277,6.25,00:04:04,26,2270.98,0.0226
Arts & Entertainment/TV & Video/TV Shows & Programs,18-24,Male,559,461,1023,0.396,4.86,00:03:07,30,2871.72,0.0293
Arts & Entertainment/Music & Audio/Folk & Traditional Music,18-24,Male,556,461,1118,0.327,6.8,00:05:01,31,2904.23,0.0277
Law & Government/Legal/Labor & Employment Law,18-24,Male,556,469,943,0.361,5.37,00:03:18,29,2620.01,0.0308
Arts & Entertainment/Music & Audio/Soundtracks,18-24,Male,552,463,1193,0.26,6.12,00:04:20,47,4988.31,0.0394
News/Broadcast & Network News,18-24,Male,542,453,1059,0.294,6.01,00:04:05,35,3757.45,0.0331
"Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs/SUVs & Crossovers",18-24,Male,540,452,1000,0.322,6.18,00:03:48,38,4231.31,0.038
Computers & Electronics/Networking/VPN & Remote Access,18-24,Male,538,482,1061,0.342,6.38,00:04:51,35,3021.09,0.033
Business & Industrial/Business Operations/Human Resources/Compensation & Benefits,18-24,Male,535,464,990,0.35,5.69,00:03:58,21,2200.99,0.0212
Sports/Sport Scores & Statistics,18-24,Male,535,474,986,0.393,5.07,00:03:40,25,2185.56,0.0254
Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,18-24,Male,534,458,939,0.4,4.89,00:03:01,29,2296.62,0.0309
Autos & Vehicles/Motor Vehicles (By Brand)/Honda,18-24,Male,534,469,1047,0.386,5.23,00:03:45,26,3237.38,0.0248
Computers & Electronics/Consumer Electronics/Home Automation,18-24,Male,534,489,928,0.334,6.18,00:03:29,37,2991.35,0.0399
Arts & Entertainment/Events & Listings/Event Ticket Sales,18-24,Male,533,446,919,0.296,6.05,00:03:43,30,2132.73,0.0326
Beauty & Fitness/Fitness/Fitness Equipment & Accessories/Weights & Strength Training Equipment,18-24,Male,532,436,1078,0.332,5.87,00:04:09,48,3487.68,0.0445
Shopping/Apparel/Casual Apparel/T-Shirts,18-24,Male,532,453,996,0.391,5.5,00:03:46,26,2022.5,0.0261
Travel & Transportation/Tourist Destinations/Theme Parks,18-24,Male,531,459,896,0.363,5.14,00:03:15,28,2221.16,0.0312
Computers & Electronics/Programming/Development Tools,18-24,Male,530,481,1027,0.357,6.27,00:05:05,38,3059.87,0.037
Food & Drink/Cooking & Recipes/Cuisines/East Asian Cuisine/Japanese Cuisine,18-24,Male,529,464,1276,0.396,4.65,00:03:04,31,2587.38,0.0243
Arts & Entertainment/Visual Art & Design/Design/Graphic Design,18-24,Male,528,476,903,0.418,4.53,00:03:25,25,2199.34,0.0277
Computers & Electronics/Computer Hardware/Desktop Computers,18-24,Male,527,459,1035,0.338,5.31,00:03:27,20,1701.61,0.0193
Hobbies & Leisure/Crafts/Fiber & Textile Arts,18-24,Male,525,453,898,0.361,5.24,00:03:46,26,1899.34,0.029
Business & Industrial/Construction & Maintenance/Construction Consulting & Contracting,18-24,Male,524,435,916,0.265,7.29,00:04:05,51,4425.71,0.0557
Business & Industrial/Agriculture & Forestry/Livestock,18-24,Male,522,449,1022,0.399,4.69,00:03:03,26,1939.32,0.0254
Beauty & Fitness/Fitness/Fitness Equipment & Accessories/Fitness Technology Products,18-24,Male,520,435,1037,0.334,5.63,00:03:35,39,2694.55,0.0376
Autos & Vehicles/Motor Vehicles (By Brand)/Nissan,18-24,Male,519,452,1019,0.404,4.78,00:02:44,24,2253.85,0.0236
Computers & Electronics/Computer Security/Network Security,18-24,Male,519,453,1010,0.326,7.41,00:05:41,46,3850.21,0.0455
Books & Literature/Magazines,18-24,Male,516,424,953,0.312,5.51,00:03:22,34,3812.32,0.0357
Finance/Insurance,18-24,Male,516,428,909,0.272,6.3,00:03:54,54,5282.33,0.0594
Science/Biological Sciences/Flora & Fauna/Insects & Entomology,18-24,Male,514,444,897,0.398,5.16,00:03:20,24,2530.45,0.0268
Games/Computer & Video Games/Simulation Games/Life Simulation Games,18-24,Male,513,472,885,0.389,4.89,00:03:04,17,1800.38,0.0192
Law & Government/Public Safety/Security Products & Services,18-24,Male,513,444,912,0.404,5.61,00:03:29,32,3254.17,0.0351
