Category,Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Games/Computer & Video Games/Music & Dance Games,25-34,Male,146,126,243,0.387,5.75,00:03:53,9,512.32,0.037
Business & Industrial/Manufacturing/Factory Automation,25-34,Male,143,124,247,0.3,6.94,00:04:56,11,919.83,0.0445
Hobbies & Leisure/Special Occasions,25-34,Male,143,121,261,0.376,5.81,00:02:56,12,840.63,0.046
Arts & Entertainment/Music & Audio/Music Reference/Music Composition & Theory,25-34,Male,142,116,254,0.224,6.96,00:06:49,19,1857.93,0.0748
Arts & Entertainment/Visual Art & Design/Sculpture,25-34,Male,142,120,240,0.358,5.97,00:03:22,5,937.58,0.0208
Books & Literature/Audiobooks,25-34,Male,142,122,348,0.399,5.39,00:03:14,13,833.1,0.0374
Computers & Electronics/Enterprise Technology,25-34,Male,142,125,243,0.305,5.66,00:03:58,10,1093.59,0.0412
Food & Drink/Cooking & Recipes/Culinary Training,25-34,Male,142,118,251,0.319,5.27,00:02:56,4,464.82,0.0159
People & Society/Mindfulness & Meditation,25-34,Male,142,122,281,0.324,6.16,00:04:51,14,980.73,0.0498
Jobs & Education/Education/Teaching & Classroom Resources/School Supplies & Classroom Equipment,25-34,Male,141,113,245,0.31,6.08,00:04:11,6,435.69,0.0245
Sports/Combat Sports/Martial Arts,25-34,Male,141,119,279,0.366,6.27,00:04:17,13,1249.79,0.0466
Travel & Transportation,25-34,Male,138,118,250,0.38,3.97,00:03:11,3,291.82,0.012
Autos & Vehicles/Motor Vehicles (By Brand)/Lincoln,25-34,Male,137,117,312,0.272,5.11,00:03:47,5,355.85,0.016
Books & Literature/Fan Fiction,25-34,Male,137,113,277,0.404,5.32,00:03:39,10,1019.53,0.0361
People & Society/Family & Relationships/Friendship,25-34,Male,137,115,281,0.42,4.81,00:03:13,6,355.59,0.0214
Autos & Vehicles/Commercial Vehicles,25-34,Male,136,124,218,0.482,5.15,00:03:30,4,558.4,0.0183
Autos & Vehicles/Motor Vehicles (By Type)/Convertibles,25-34,Male,136,108,271,0.354,6.25,00:03:48,11,1338.55,0.0406
Sports/Combat Sports/Wrestling,25-34,Male,135,112,243,0.329,6.09,00:04:35,17,1231.21,0.07
Business & Industrial/Hospitality Industry,25-34,Male,134,106,231,0.32,5.77,00:03:59,7,983.9,0.0303
Jobs & Education/Jobs/Job Listings/Sales & Marketing Jobs,25-34,Male,134,109,262,0.321,5.29,00:04:05,7,619.89,0.0267
Travel & Transportation/Transportation/Carpooling,25-34,Male,134,118,226,0.367,5.79,00:03:58,5,352.54,0.0221
Business & Industrial/Business Services/Fire & Security Services,25-34,Male,133,121,200,0.345,5.5,00:03:24,5,534.7,0.025
Computers & Electronics/Software,25-34,Male,133,112,225,0.28,6.44,00:05:14,7,451.03,0.0311
Science/Ecology & Environment,25-34,Male,133,105,244,0.406,5.92,00:04:33,10,931.46,0.041
Pets & Animals/Pets/Exotic Pets,25-34,Male,131,105,246,0.333,4.63,00:03:10,5,445.71,0.0203
Business & Industrial/Agriculture & Forestry/Horticulture,25-34,Male,130,110,232,0.293,5.03,00:03:23,5,389.42,0.0216
Real Estate/Real Estate Services/Real Estate Title & Escrow,25-34,Male,130,111,199,0.387,6.47,00:03:31,4,573.4,0.0201
Autos & Vehicles/Motor Vehicles (By Brand)/Toyota/Scion,25-34,Male,128,111,286,0.297,7.23,00:05:02,9,633.37,0.0315
Autos & Vehicles/Motor Vehicles (By Brand)/Ram Trucks,25-34,Male,127,112,220,0.377,5.38,00:03:28,4,395.76,0.0182
Business & Industrial/Chemicals Industry/Cleaning Agents,25-34,Male,127,113,210,0.314,5.75,00:03:39,2,173.66,0.0095
Jobs & Education/Jobs/Job Listings/Clerical & Administrative Jobs,25-34,Male,127,108,241,0.423,4.85,00:03:28,7,501.6,0.029
Law & Government/Military/Veterans,25-34,Male,127,103,331,0.471,5.1,00:04:28,8,541.61,0.0242
Arts & Entertainment/Music & Audio/World Music/Latin American Music/Salsa & Tropical Music,25-34,Male,125,103,275,0.331,5.63,00:04:04,14,1629.52,0.0509
Autos & Vehicles/Vehicle Shows,25-34,Male,125,106,195,0.292,4.6,00:03:21,4,202.16,0.0205
Arts & Entertainment/Music & Audio/Vocals & Show Tunes,25-34,Male,123,106,215,0.335,5.7,00:05:15,9,643.98,0.0419
Autos & Vehicles/Vehicle Parts & Services/Towing & Roadside Assistance,25-34,Male,123,109,234,0.385,5.73,00:03:42,8,1054.38,0.0342
Jobs & Education/Internships,25-34,Male,123,104,219,0.374,4.38,00:03:18,3,321.91,0.0137
Business & Industrial/Advertising & Marketing/Promotional Products & Corporate Gifts,25-34,Male,122,106,199,0.347,6.15,00:04:03,6,435.98,0.0302
People & Society/Family & Relationships/Family,25-34,Male,122,103,198,0.409,5.03,00:03:21,4,276.63,0.0202
Jobs & Education/Education/Study Abroad,25-34,Male,121,105,192,0.391,4.84,00:02:28,2,67,0.0104
Autos & Vehicles/Motor Vehicles (By Brand)/Pontiac,25-34,Male,120,100,260,0.462,4.98,00:03:26,10,564.23,0.0385
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Carnival & Mardi Gras,25-34,Male,120,105,279,0.315,4.85,00:03:29,7,481.89,0.0251
Home & Garden/Home Furnishings/Living Room Furniture,25-34,Male,120,93,334,0.308,7.76,00:05:29,21,1945.13,0.0629
Business & Industrial/Printing & Publishing/Document & Printing Services,25-34,Male,118,110,205,0.307,5.49,00:03:46,9,500.57,0.0439
Sports/Individual Sports/Bowling,25-34,Male,118,104,220,0.273,7.73,00:05:06,7,445.39,0.0318
Business & Industrial/Business Services/Outsourcing,25-34,Male,114,95,171,0.234,6.6,00:04:14,5,393.9,0.0292
Food & Drink/Food & Grocery Retailers/Convenience Stores,25-34,Male,113,102,177,0.373,5.3,00:03:53,6,420.05,0.0339
Finance/Banking/Debit & Checking Services,25-34,Male,112,96,209,0.359,5.2,00:03:32,7,688.52,0.0335
Finance/Credit & Lending/Loans/Home Financing/Home Refinancing,25-34,Male,111,96,196,0.281,4.61,00:02:35,4,362.36,0.0204
Hobbies & Leisure/Clubs & Organizations/Youth Organizations & Resources,25-34,Male,109,34,1303,0.229,2.64,00:00:35,3,437.59,0.0023
Jobs & Education/Education/Private Tutoring Services,25-34,Male,109,96,183,0.339,5.18,00:03:07,8,785.53,0.0437
Shopping/Gifts & Special Event Items/Custom & Personalized Items,25-34,Male,109,95,183,0.257,8.31,00:03:59,7,1050,0.0383
Arts & Entertainment/Performing Arts/Circus,25-34,Male,108,89,174,0.328,5.4,00:04:18,5,534.56,0.0287
Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics/Lip Makeup,25-34,Male,108,100,163,0.442,5.53,00:03:08,5,493.1,0.0307
Finance,25-34,Male,108,88,200,0.42,4.34,00:02:36,3,397.44,0.015
Computers & Electronics/Software/Internet Software/Content Management,25-34,Male,107,91,188,0.399,6.12,00:05:50,9,984.78,0.0479
Food & Drink/Cooking & Recipes/Cuisines/French Cuisine,25-34,Male,107,95,191,0.309,5.14,00:02:52,3,210.45,0.0157
Shopping/Discount & Outlet Stores,25-34,Male,107,85,207,0.309,5.89,00:03:49,8,1097.29,0.0386
Food & Drink/Food & Grocery Retailers/Butchers,25-34,Male,106,96,199,0.437,4.77,00:02:44,2,162.83,0.0101
Food & Drink/Food/Gourmet & Specialty Foods,25-34,Male,106,94,185,0.27,5.59,00:04:29,4,276.8,0.0216
Business & Industrial/Business Services/Corporate Events,25-34,Male,105,91,178,0.292,5.7,00:04:05,10,982.25,0.0562
Business & Industrial/Business Services/Knowledge Management,25-34,Male,104,87,187,0.187,7.64,00:05:31,4,450.3,0.0214
Finance/Investing/Funds,25-34,Male,103,81,177,0.209,7.79,00:04:38,8,761.79,0.0452
Jobs & Education/Education/Early Childhood Education/Preschool,25-34,Male,103,86,188,0.33,6.11,00:04:03,7,607.99,0.0372
Sports/Team Sports,25-34,Male,103,86,164,0.378,5.16,00:03:03,7,402.4,0.0427
Business & Industrial/Advertising & Marketing/Telemarketing,25-34,Male,102,89,173,0.353,5.67,00:03:33,7,858.64,0.0405
Food & Drink/Food & Grocery Retailers/Bakeries,25-34,Male,102,91,174,0.489,3.65,00:01:38,5,770.65,0.0287
Arts & Entertainment/Visual Art & Design/Design/Industrial & Product Design,25-34,Male,101,86,184,0.364,5.27,00:03:31,6,448,0.0326
Business & Industrial/Business Services/Physical Asset Management,25-34,Male,101,87,186,0.441,7.72,00:03:45,4,459.25,0.0215
Reference/Libraries & Museums/Libraries,25-34,Male,101,88,153,0.34,5.05,00:03:27,2,90.3,0.0131
Autos & Vehicles/Motor Vehicles (By Brand)/Chrysler,25-34,Male,100,92,176,0.443,4.53,00:02:39,4,413.35,0.0227
Autos & Vehicles/Motor Vehicles (By Brand)/Isuzu,25-34,Male,100,83,226,0.46,4.44,00:02:34,8,708.71,0.0354
Computers & Electronics/Computer Hardware/Computer Drives & Storage,25-34,Male,100,89,288,0.254,7.99,00:09:34,12,994.76,0.0417
Computers & Electronics/Consumer Electronics/TV & Video Equipment/DVRs & Set-Top Boxes,25-34,Male,99,91,174,0.385,4.88,00:02:28,5,352.33,0.0287
Food & Drink/Beverages,25-34,Male,99,82,159,0.39,4.92,00:03:08,7,478.95,0.044
Sports/Sporting Goods/Equestrian Equipment & Tack,25-34,Male,99,83,166,0.355,5.25,00:03:05,4,346.1,0.0241
"Jobs & Education/Education/Colleges & Universities/Fraternities, Sororities & Student Societies",25-34,Male,98,86,141,0.383,3.9,00:02:25,8,691.14,0.0567
Autos & Vehicles/Motor Vehicles (By Brand)/GMC,25-34,Male,97,90,167,0.281,5.65,00:04:26,4,300.61,0.024
Sports/Sporting Goods/Basketball Equipment,25-34,Male,97,77,179,0.313,5.59,00:03:44,9,846.14,0.0503
Shopping/Photo & Video Services/Event & Studio Photography,25-34,Male,96,84,162,0.401,4.64,00:03:30,8,403.54,0.0494
Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Auto Glass Repair & Replacement,25-34,Male,95,82,176,0.477,4.92,00:02:57,4,340.37,0.0227
"Food & Drink/Food/Jams, Jellies & Preserves",25-34,Male,95,83,157,0.325,5.68,00:03:49,5,1068.52,0.0318
Games/Table Games/Table Tennis,25-34,Male,95,89,193,0.269,6.39,00:04:09,8,1017,0.0415
Hobbies & Leisure/Clubs & Organizations/Fraternal Orders & Service Clubs,25-34,Male,95,78,204,0.328,5.01,00:02:55,0,0,0
Jobs & Education/Education/Homeschooling,25-34,Male,95,83,174,0.264,5.71,00:03:25,3,421.77,0.0172
Online Communities/Virtual Worlds,25-34,Male,95,84,172,0.395,6.58,00:04:29,5,549.33,0.0291
People & Society/Women's Interests,25-34,Male,95,80,151,0.444,4.24,00:02:08,5,358,0.0331
Arts & Entertainment/Humor/Spoofs & Satire,25-34,Male,94,81,178,0.354,5.59,00:03:14,5,542.72,0.0281
Computers & Electronics/Electronics & Electrical/Optoelectronics & Fiber,25-34,Male,94,84,189,0.259,9.34,00:06:42,10,596.92,0.0529
Computers & Electronics/Software/Operating Systems,25-34,Male,94,84,214,0.285,5.63,00:05:30,4,444.85,0.0187
Sports/Team Sports/Cheerleading,25-34,Male,94,76,194,0.412,4.77,00:03:12,11,876.3,0.0567
Business & Industrial/Business Services/Shared Workspaces,25-34,Male,93,80,174,0.264,7.37,00:04:26,10,1000.38,0.0575
Food & Drink/Restaurants/Catering,25-34,Male,93,77,181,0.387,6.11,00:03:33,4,244.56,0.0221
Internet & Telecom/Email & Messaging/Electronic Spam,25-34,Male,92,74,169,0.272,5.62,00:03:48,5,637.74,0.0296
Reference/Directories & Listings,25-34,Male,91,77,151,0.291,5.77,00:03:21,4,152.91,0.0265
Computers & Electronics/Computer Hardware/Computer Drives & Storage/Memory Card Readers,25-34,Male,90,81,180,0.311,5.94,00:04:50,4,379.97,0.0222
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions/Projection TVs,25-34,Male,89,78,191,0.309,6.01,00:04:11,4,277.68,0.0209
Law & Government/Government/Lobbying,25-34,Male,88,74,153,0.379,5.67,00:03:44,5,396.34,0.0327
Business & Industrial/Agriculture & Forestry/Aquaculture,25-34,Male,87,76,142,0.458,4.89,00:03:01,3,368.45,0.0211
Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/Wearable Technology,25-34,Male,87,78,156,0.346,5.78,00:03:31,6,650.05,0.0385
People & Society/Social Issues & Advocacy/Ethics,25-34,Male,87,75,143,0.322,7,00:04:07,5,520.23,0.035
Sports/Sporting Goods/Table Tennis Equipment,25-34,Male,87,76,183,0.224,7.04,00:04:51,7,775.17,0.0383
Arts & Entertainment/TV & Video/Online Video/Web Series,25-34,Male,86,65,185,0.33,5.54,00:04:44,14,1003.72,0.0757
News/Gossip & Tabloid News/Scandals & Investigations,25-34,Male,85,77,139,0.324,6.52,00:02:54,5,452.85,0.036
People & Society/Family & Relationships/Marriage,25-34,Male,85,71,235,0.481,2.6,00:01:49,2,151.55,0.0085
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Thanksgiving,25-34,Male,84,64,179,0.341,5.3,00:02:59,4,330.32,0.0223
Business & Industrial/Hospitality Industry/Event Planning,25-34,Male,83,71,150,0.32,5.82,00:02:48,8,850.2,0.0533
Finance/Credit & Lending/Loans/Home Financing/Home Equity Loans & Lines of Credit,25-34,Male,83,71,198,0.313,6.33,00:04:08,7,921.31,0.0354
Jobs & Education/Jobs/Job Listings/Health & Medical Jobs,25-34,Male,83,64,143,0.357,6.01,00:03:34,5,788.75,0.035
Computers & Electronics/Computer Hardware/Computer Peripherals,25-34,Male,82,75,170,0.324,5.5,00:03:11,9,795.28,0.0529
Food & Drink/Food/Organic & Natural Foods,25-34,Male,82,69,157,0.325,6.19,00:04:37,6,708.3,0.0382
People & Society/Social Issues & Advocacy/Immigration Policy & Border Issues,25-34,Male,82,68,137,0.467,3.77,00:02:07,2,200.2,0.0146
Computers & Electronics/Electronics & Electrical/Electromechanical Devices,25-34,Male,81,73,147,0.32,8.62,00:04:44,10,1219.42,0.068
Hobbies & Leisure/Recreational Aviation,25-34,Male,81,61,203,0.399,6.68,00:04:32,9,1499.24,0.0443
Games/Dice Games,25-34,Male,80,73,97,0.402,4,00:01:43,3,254.5,0.0309
Sports/Sporting Goods/Electric Skateboards & Scooters,25-34,Male,80,68,128,0.352,7.32,00:02:46,4,265.45,0.0312
Finance/Banking/ATMs & Branch Locations,25-34,Male,79,74,115,0.47,4.32,00:01:33,1,65,0.0087
Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Bread Makers,25-34,Male,79,68,126,0.31,6.99,00:04:15,7,524.1,0.0556
Sports/Combat Sports/Martial Arts/Kickboxing,25-34,Male,78,72,130,0.392,4.47,00:02:59,1,108.85,0.0077
Autos & Vehicles/Motor Vehicles (By Brand)/Hummer,25-34,Male,77,63,128,0.383,3.95,00:01:59,2,112.2,0.0156
Business & Industrial/Shipping & Logistics/Freight Transport/Trucking,25-34,Male,76,66,144,0.368,3.83,00:02:53,1,192.35,0.0069
Law & Government/Public Safety,25-34,Male,76,59,336,0.217,6.19,00:06:05,8,1000.57,0.0238
People & Society/Social Issues & Advocacy/Work & Labor Issues,25-34,Male,75,64,129,0.388,5.19,00:03:11,5,236.83,0.0388
Business & Industrial/Energy & Utilities/Renewable & Alternative Energy/Hydropower,25-34,Male,74,63,130,0.362,5.68,00:02:38,4,610.5,0.0308
Games/Family-Oriented Games & Activities,25-34,Male,74,60,153,0.281,6.71,00:03:19,6,570.53,0.0392
Jobs & Education/Education/Alumni & Reunions,25-34,Male,74,62,125,0.28,6.66,00:04:26,4,163.94,0.032
Business & Industrial/Business Services/Office Services/Office & Facilities Management,25-34,Male,73,65,135,0.252,6.84,00:04:40,3,210.27,0.0222
Internet & Telecom,25-34,Male,73,59,122,0.402,5.28,00:03:25,2,139.42,0.0164
Jobs & Education/Education,25-34,Male,73,57,121,0.405,5.81,00:04:01,4,408.22,0.0331
Sports/Combat Sports/Wrestling/Amateur & Sport Wrestling,25-34,Male,73,66,173,0.289,5.05,00:03:11,3,371.73,0.0173
People & Society/Men's Interests,25-34,Male,72,55,135,0.319,5.41,00:04:34,2,38.9,0.0148
Real Estate/Real Estate Listings/Timeshares & Vacation Properties,25-34,Male,72,62,136,0.324,3.87,00:03:05,1,100,0.0074
Sports/Sporting Goods/Hockey Equipment,25-34,Male,72,59,129,0.186,7.85,00:06:59,6,530.5,0.0465
Travel & Transportation/Specialty Travel,25-34,Male,72,60,106,0.33,5.36,00:03:26,3,284.5,0.0283
Autos & Vehicles,25-34,Male,71,57,126,0.302,5.29,00:03:13,5,364.73,0.0397
Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics/Face Makeup,25-34,Male,71,59,153,0.373,4.76,00:03:03,5,709.75,0.0327
Shopping,25-34,Male,71,59,124,0.331,5.46,00:02:45,1,70,0.0081
Shopping/Toys/Puppets,25-34,Male,71,67,140,0.293,8.21,00:06:34,8,548.57,0.0571
Sports/Animal Sports,25-34,Male,71,59,105,0.438,4.44,00:02:43,2,237.18,0.019
Arts & Entertainment/Movies/Classic Films/Silent Films,25-34,Male,70,62,93,0.29,6.19,00:04:57,6,624.06,0.0645
Arts & Entertainment/Movies/Movie Memorabilia,25-34,Male,70,59,182,0.335,5.59,00:06:24,8,1232.83,0.044
Computers & Electronics/Computer Hardware/Computer Drives & Storage/CD & DVD Drives & Burners,25-34,Male,70,61,125,0.296,6.11,00:04:28,7,527.31,0.056
Games/Tile Games,25-34,Male,70,64,109,0.413,5.23,00:02:44,2,79.95,0.0183
Arts & Entertainment/Music & Audio/Jazz & Blues,25-34,Male,69,61,131,0.282,6.61,00:05:24,9,793.73,0.0687
Hobbies & Leisure/Water Activities/Surf & Swim,25-34,Male,69,59,119,0.395,5.24,00:02:54,4,225.34,0.0336
Home & Garden/Domestic Services,25-34,Male,69,55,119,0.412,6.89,00:03:38,3,358.48,0.0252
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions/Plasma TVs,25-34,Male,68,51,128,0.336,8.34,00:05:52,8,993.79,0.0625
Business & Industrial/Shipping & Logistics,25-34,Male,67,52,125,0.28,7.06,00:06:54,3,503.47,0.024
Beauty & Fitness/Hair Care/Shampoos & Conditioners,25-34,Male,66,58,103,0.252,6.77,00:04:06,5,625.8,0.0485
Jobs & Education/Jobs/Job Listings/Executive & Management Jobs,25-34,Male,66,48,137,0.27,6.69,00:05:06,7,732.96,0.0511
Travel & Transportation/Specialty Travel/Low Cost & Last Minute Travel,25-34,Male,65,58,116,0.397,6.03,00:02:27,2,101.95,0.0172
Arts & Entertainment/Entertainment Industry,25-34,Male,62,53,105,0.343,5.89,00:03:42,5,412.45,0.0476
Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products/Face Cleansers & Makeup Removers,25-34,Male,62,55,128,0.438,4.74,00:02:44,1,94.5,0.0078
Law & Government/Public Safety/Public Health/Health Policy,25-34,Male,62,51,232,0.259,5.54,00:03:01,4,543.25,0.0172
Travel & Transportation/Transportation,25-34,Male,62,54,120,0.425,5.03,00:02:54,4,274.06,0.0333
Sports/Combat Sports/Martial Arts/Japanese Martial Arts/Karate,25-34,Male,60,55,92,0.337,5.72,00:04:45,3,233.83,0.0326
Beauty & Fitness/Face & Body Care/Hygiene & Toiletries/Toothpaste,25-34,Male,59,52,126,0.357,6.06,00:03:28,3,152.38,0.0238
Computers & Electronics/Electronics & Electrical/Data Sheets & Electronics Reference,25-34,Male,59,49,106,0.377,5.25,00:03:24,2,169.71,0.0189
Food & Drink/Cooking & Recipes/Cuisines/Latin American Cuisine/South American Cuisine,25-34,Male,59,54,104,0.433,4.07,00:02:22,1,19.95,0.0096
Games/Family-Oriented Games & Activities/Drawing & Coloring,25-34,Male,59,49,89,0.281,6.31,00:04:52,4,206.57,0.0449
Arts & Entertainment/Music & Audio/Music Reference,25-34,Male,58,54,104,0.308,6.2,00:04:02,1,20.38,0.0096
People & Society/Subcultures & Niche Interests/Goth Subculture,25-34,Male,58,48,99,0.313,3.8,00:02:18,2,42.47,0.0202
Food & Drink/Cooking & Recipes/Cuisines/South Asian Cuisine,25-34,Male,57,51,108,0.324,4.69,00:03:58,2,66,0.0185
People & Society/Subcultures & Niche Interests,25-34,Male,57,49,116,0.345,4.39,00:04:11,1,123.95,0.0086
Food & Drink/Food & Grocery Retailers/Delicatessens,25-34,Male,56,51,116,0.388,6.05,00:04:23,6,602.39,0.0517
Games,25-34,Male,56,47,86,0.326,6.33,00:04:09,5,321.65,0.0581
People & Society/Social Issues & Advocacy/Drug Laws & Policy,25-34,Male,56,48,147,0.381,8.37,00:06:13,1,70,0.0068
Shopping/Apparel/Women's Clothing/Skirts,25-34,Male,56,47,95,0.39,5.05,00:02:44,2,35.05,0.0211
Business & Industrial/Business Operations,25-34,Male,55,48,83,0.325,5.75,00:04:13,2,104.85,0.0241
Hobbies & Leisure,25-34,Male,55,47,100,0.32,4.62,00:03:40,1,96.38,0.01
Hobbies & Leisure/Paintball,25-34,Male,55,45,114,0.377,4.54,00:04:23,2,186.89,0.0175
Internet & Telecom/Mobile & Wireless/Mobile Phones/Mobile Phone Repair & Services,25-34,Male,55,46,93,0.323,6.22,00:04:18,6,509.37,0.0645
Sports/Sporting Goods/Baseball Equipment,25-34,Male,55,44,90,0.233,6.38,00:04:45,3,130.97,0.0333
Autos & Vehicles/Bicycles & Accessories/Electric Bicycles,25-34,Male,54,48,104,0.308,7.56,00:03:08,3,163,0.0288
Computers & Electronics/Software/Operating Systems/Mobile OS/BlackBerry OS,25-34,Male,54,39,121,0.281,6.07,00:05:25,5,346.13,0.0413
Business & Industrial/Chemicals Industry/Dyes & Pigments,25-34,Male,53,45,83,0.361,5.23,00:03:38,3,387.68,0.0361
Computers & Electronics/Software/Monitoring Software,25-34,Male,53,48,118,0.407,4.1,00:02:26,3,145.18,0.0254
Sports/Water Sports,25-34,Male,52,44,86,0.395,3.69,00:02:09,1,41,0.0116
Business & Industrial/Professional & Trade Associations,25-34,Male,51,37,120,0.367,6.12,00:06:12,3,229.25,0.025
"Home & Garden/Patio, Lawn & Garden/Landscape Design",25-34,Male,51,45,104,0.394,6.23,00:04:45,3,267.95,0.0288
Sports/Combat Sports/Martial Arts/Taekwondo,25-34,Male,51,44,71,0.366,4.31,00:03:10,2,169.75,0.0282
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Copiers",25-34,Male,50,44,80,0.2,8.71,00:05:47,6,527.98,0.075
Reference/Language Resources/Foreign Language Resources,25-34,Male,49,40,82,0.415,4.6,00:04:37,1,99.95,0.0122
Sports/Combat Sports/Wrestling/Professional Wrestling,25-34,Male,49,43,102,0.529,3.51,00:02:09,3,101.9,0.0294
Sports/Sporting Goods/Combat Sports Equipment/Martial Arts Equipment,25-34,Male,49,44,85,0.4,8.54,00:05:53,4,249.15,0.0471
Arts & Entertainment/Visual Art & Design/Visual Arts & Design Education,25-34,Male,48,44,82,0.366,5.51,00:03:36,3,147.25,0.0366
Computers & Electronics/Software/Internet Software/Download Managers,25-34,Male,48,45,74,0.311,7.36,00:06:52,3,392,0.0405
Computers & Electronics/Software/Multimedia Software,25-34,Male,48,40,82,0.22,7.3,00:04:18,5,385.96,0.061
Science/Earth Sciences,25-34,Male,48,41,77,0.364,6.32,00:02:46,1,251.7,0.013
Shopping/Photo & Video Services,25-34,Male,48,47,75,0.333,5.4,00:03:58,1,361.5,0.0133
Travel & Transportation/Transportation/Chartered Transportation Rentals,25-34,Male,48,37,96,0.313,5.03,00:04:18,6,1011.1,0.0625
"Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs/SUVs & Crossovers/Crossovers",25-34,Male,47,41,88,0.273,4.7,00:02:31,1,152.9,0.0114
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Fax Machines",25-34,Male,47,44,97,0.247,5.79,00:05:40,2,179.67,0.0206
Arts & Entertainment/Music & Audio/Music Art & Memorabilia,25-34,Male,46,40,88,0.364,5.49,00:04:16,3,211.17,0.0341
Beauty & Fitness/Face & Body Care/Hygiene & Toiletries/Feminine Hygiene Products,25-34,Male,46,39,77,0.61,3.23,00:02:18,1,74.85,0.013
Jobs & Education/Jobs/Job Listings/Retail Jobs,25-34,Male,46,44,95,0.432,4.73,00:03:40,2,76.95,0.0211
People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Baby Safety,25-34,Male,46,42,72,0.375,7.36,00:02:40,7,868.57,0.0972
Sports/Combat Sports/Martial Arts/Chinese Martial Arts,25-34,Male,46,36,137,0.358,4.88,00:03:53,4,421.28,0.0292
Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Oil Changes,25-34,Male,45,36,93,0.366,5.23,00:03:13,3,467.63,0.0323
Business & Industrial/Agriculture & Forestry/Farms & Ranches,25-34,Male,45,38,73,0.438,3.47,00:02:06,1,74,0.0137
Shopping/Consumer Resources/Customer Services/Warranties & Service Contracts,25-34,Male,45,38,70,0.371,5.21,00:02:59,2,188.95,0.0286
Finance/Banking/Mobile Payments & Digital Wallets,25-34,Male,44,38,89,0.438,6.25,00:03:17,3,159.69,0.0337
Food & Drink/Cooking & Recipes/Healthy Eating,25-34,Male,44,40,73,0.37,3.79,00:01:33,1,47.5,0.0137
Beauty & Fitness/Beauty Services & Spas/Cosmetic Procedures/Cosmetic Dentistry,25-34,Male,43,38,89,0.438,4.88,00:02:28,5,433.45,0.0562
Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products/Face Lotions & Moisturizers,25-34,Male,43,36,106,0.264,5.39,00:02:54,1,26.69,0.0094
Internet & Telecom/Service Providers,25-34,Male,43,35,78,0.18,15.12,00:09:48,7,1094.4,0.0897
People & Society/Family & Relationships/Family/Parenting/Youth Camps,25-34,Male,43,39,72,0.417,6,00:03:12,4,275.25,0.0556
Shopping/Apparel/Clothing Accessories/Gems & Jewelry/Necklaces,25-34,Male,43,33,86,0.372,4.45,00:02:59,1,107.35,0.0116
Autos & Vehicles/Bicycles & Accessories/Cruiser Bicycles,25-34,Male,42,34,96,0.25,9.75,00:07:23,4,310.26,0.0417
Computers & Electronics/Computer Hardware/Computer Drives & Storage/CD & DVD Storage Media,25-34,Male,42,32,104,0.231,5.84,00:03:04,1,110,0.0096
Food & Drink/Beverages/Energy Drinks,25-34,Male,42,37,127,0.331,6.76,00:04:43,3,269.83,0.0236
Food & Drink/Cooking & Recipes/Cuisines/East Asian Cuisine,25-34,Male,42,37,65,0.215,6.51,00:06:18,2,177.07,0.0308
Law & Government/Legal/Product Liability,25-34,Male,41,33,64,0.219,6.09,00:05:10,1,424.46,0.0156
Sports/Sporting Goods/Gymnastics Equipment,25-34,Male,41,34,84,0.298,6.12,00:04:10,3,161.23,0.0357
Autos & Vehicles/Motor Vehicles (By Brand)/Buick,25-34,Male,40,33,76,0.276,6.14,00:03:50,3,171.22,0.0395
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/High Performance & Aftermarket Auto Parts,25-34,Male,40,33,71,0.324,5.31,00:03:31,1,46.27,0.0141
Jobs & Education/Jobs/Job Listings/Temporary & Seasonal Jobs,25-34,Male,40,36,66,0.424,3.61,00:01:34,1,83,0.0152
Arts & Entertainment/Visual Art & Design/Design,25-34,Male,38,28,65,0.231,7.48,00:03:44,4,349.3,0.0615
Sports/Combat Sports/Fencing,25-34,Male,38,33,60,0.283,4.23,00:02:26,0,0,0
Arts & Entertainment/Performing Arts,25-34,Male,35,31,81,0.432,6.7,00:03:36,6,314.33,0.0741
